State,CBSA,None_CBSA,Population,CBSA_rate,MSA,None_MSA,MSA_Rate
Alabama,4403644,501870,4905514,89.76926781,3688127,1217387,75.18329374
Alaska,539041,192504,731545,73.68528252,466166,265379,63.72348933
Arizona,7176224,102493,7278717,98.59188096,6925947,352770,95.1534041
Arkansas,2567495,450309,3017804,85.07825558,,,
California,39239334,272789,39512123,99.30960683,38674919,837204,97.8811465
Colorado,,0,,,,,
Connecticut,3565287,0,3565287,100,3384954,180333,94.94197802
Delaware,,0,,,,,
District of Columbia,,0,,,,,
Florida,21154895,322842,21477737,98.49685281,20787043,690694,96.78413978
Georgia,,0,,,,,
Hawaii,1415786,86,1415872,99.993926,1141980,273892,80.65559599
Idaho,1645938,141109,1787047,92.1037891,1327492,459555,74.28411228
Illinois,12067468,604379,12671847,95.23053743,11246743,1425104,88.75377836
Indiana,,0,,,,,
Iowa,2333439,821631,3155070,73.95839078,1933027,1222043,61.26732529
Kansas,2528644,384670,2913314,86.79613663,2025859,887455,69.53795574
Kentucky,3569454,898219,4467673,79.895149,2614116,1853557,58.51180245
Lousiana,,0,,,,,
Maine,921227,422985,1344212,68.53286535,798925,545287,59.43444933
Maryland,5963838,81842,6045680,98.64627304,5894728,150952,97.50314274
Massachusetts,6881104,11399,6892503,99.83461741,6298555,593948,91.38269508
Michigan,9187870,798987,9986857,91.99961509,8184614,1802243,81.95385195
Minnesota,5124102,515530,5639632,90.85880072,4392182,1247450,77.88064895
Mississippi,,0,,,,,
Missouri,5299019,838409,6137428,86.33940797,4602874,1534554,74.99679019
Montana,,0,,,,,
Nebraska,1591169,343239,1934408,82.25612177,1264667,669741,65.37746949
Nevada,3047758,32398,3080156,98.94817016,2798273,281883,90.84841807
New Hampshire,1320801,38910,1359711,97.13836249,857427,502284,63.05950309
New Jersey,8882190,0,8882190,100,8882190,0,100
New Mexico,,0,,,,,
New York,19062245,385316,19447561,98.01869242,18094588,1352973,93.04296822
North Carolina,9887022,593415,10480437,94.33787923,8306676,2173761,79.2588706
North Dakota,,0,,,,,
Ohio,11242641,381134,11623775,96.72108244,9382254,2241521,80.71606685
Oklahoma,,0,,,,,
Oregon,,0,,,,,
Pennsylvania,11884839,917567,12802406,92.83285501,11355467,1446939,88.6979135
Rhode Island,1059361,0,1059361,100,1059361,0,100
South Carolina,,0,,,,,
South Dakota,,0,,,,,
Tennessee,,0,,,,,
Texas,27606401,1389480,28995881,95.20800903,28309521,686360,97.63290517
Utah,3057929,148029,3205958,95.3826906,2870657,335301,89.54131651
Vermont,456435,167554,623989,73.14792408,220411,403578,35.32289832
Virginia,,0,,,,,
Washington,7435003,179930,7614933,97.6371427,6244052,1370881,81.99746472
West Virginia,,0,,,,,
Wisconsin,5098663,723771,5822434,87.56927086,4347996,1474438,74.67660432
Wyoming,,0,,,,,
