State,Violent_Crimes,Property_Crimes,Crimes,Population,Crime_Count,Misdemeanor_Rate,Misdemeanor,Result,A
Alabama,523.1,2837.8,3360.9,4906885,164915.498,36,59369.57927,1209.924,o
Alaska,891.7,3311.6,4203.3,742552,31211.68822,76,23720.88304,3194.508,o
Arizona,475.7,2692.5,3168.2,7192613,227876.3651,80,182301.0921,2534.56,o
California,447.5,2386.2,2833.7,39735951,1125997.643,80,900798.1148,2266.96,o
Connecticut,209.6,1661.9,1871.5,3630004,67935.52486,81,55027.77514,1515.915,o
District of Columbia,997.1,4379.7,5376.8,702455,37769.60044,83,31348.76837,4462.744,o
Florida,385.9,2287.8,2673.7,21441679,573286.1714,75,429964.6286,2005.275,o
Hawaii,255,2888,3143,1420491,44646.03213,92,41074.34956,2891.56,o
Idaho,239.7,1475.1,1714.8,1819181,31195.31579,78,24332.34631,1337.544,o
Illinois,411.4,1938.8,2350.2,12810199,301065.2969,71,213756.3608,1668.642,o
Iowa,263.7,1811.1,2074.8,3189115,66167.75802,83,54919.23916,1722.084,o
Kansas,441.8,2660.2,3102,3005652,93235.32504,51,47550.01577,1582.02,o
Kentucky,217.9,2000.3,2218.2,4515472,100162.1999,68,68110.29593,1508.376,o
Maine,112,1359.2,1471.2,1393395,20499.62724,86,17629.67943,1265.232,o
Maryland,469.4,2036.9,2506.3,6243451,156479.6124,78,122054.0977,1954.914,o
Massachusetts,340.3,1273.6,1613.9,6913325,111574.1522,76,84796.35565,1226.564,o
Michigan,452.5,1664.5,2117,10417561,220539.7664,80,176431.8131,1693.6,o
Minnesota,221.2,2001.1,2222.3,5942285,132055.3996,74,97720.99567,1644.502,o
Missouri,501.4,2657.8,3159.2,6211446,196232.002,46,90266.72093,1453.232,o
Nebraska,289.9,2087.3,2377.2,1998902,47517.89834,69,32787.34986,1640.268,o
Nevada,552.1,2444.3,2996.4,3040690,91111.23516,65,59222.30285,1947.66,o
New Hampshire,177.6,1270.9,1448.5,1382257,20021.99264,73,14616.05463,1057.405,o
New Jersey,208.6,1408.4,1617,8968809,145025.6415,69,100067.6927,1115.73,o
New York,350.8,1441.6,1792.4,21485794,385111.3717,71,275415,1281.846,o
North Carolina,356.2,2343.8,2700,10417547,281273.769,82,230644.4906,2214,o
Ohio,294.8,2208.3,2503.1,11795193,295245.476,77,227339.0165,1927.387,o
Pennsylvania,305.4,1489.2,1794.6,13602353,244107.8269,63,153787.931,1130.598,o
Rhode Island,219.8,1665.4,1885.2,1063854,20055.77561,57,11431.7921,1074.564,o
Texas,412.9,2379.2,2792.1,28782890,803647.0717,84,675063.5402,2345.364,o
Utah,239.4,2419.3,2658.7,3378732,89830.34768,79,70965.97467,2100.373,o
Vermont,185,1315.1,1500.1,648985,9735.423985,79,7690.984948,1185.079,o
Washington,315.3,2967.3,3282.6,7579673,248810.3459,77,191583.9663,2527.602,o
Arkansas,561.6,2963,3524.6,3031153,106836.0186,,,,
Colorado,401.5,2711,3112.5,5754756,179116.7805,,,,
Delaware,422.5,2320.6,2743.1,984141,26995.97177,,,,
Georgia,338.9,2642.9,2981.8,10798647,321994.0562,,,,
Indiana,373.5,2194.7,2568.2,6702735,172139.6403,,,,
Lousiana,543.3,3283.4,3826.7,4719808,180612.8927,,,,
Mississippi,266,2405.3,2671.3,2987810,79813.36853,,,,
Montana,380.9,2525.5,2906.4,1121837,32605.07057,,,,
New Mexico,842.8,3379.4,4222.2,2100071,88669.19776,,,,
Wisconsin,299,1571.1,1870.1,5923923,110783.284,65,72009.13461,1215.565,
North Dakota,284.1,2060.6,2344.7,788896,18497.24451,,,,
Oklahoma,474.6,2903.3,3377.9,3967076,134003.8602,,,,
Oregon,290.4,2926.9,3217.3,4328893,139273.4745,,,,
South Carolina,500.8,3074.8,3575.6,5107178,182612.2566,,,,
South Dakota,396.4,1728.8,2125.2,921472,19583.12294,,,,
Tennessee,630.4,2848.6,3479,6791112,236262.7865,,,,
Virginia,204.2,1681.3,1885.5,8526290,160763.198,,,,
West Virginia,299.9,1545.6,1845.5,1817569,33543.23589,,,,
Wyoming,213.8,1784.6,1998.4,588786,11766.29942,,,,
