State,A,Area(km2),Police_area,Police,Population_2018,Rate_2018,Population_2019,Rate_2019
Alabama,v,135765,0.617113636,220000,4906885,2.2,4922404,2.2
Alaska,v,1717854,10.10502353,170000,742552,1.7,736704,1.7
Arizona,v,295254,1.6403,180000,7192613,1.8,7299940,1.8
Arkansas,o,137732,0.626054545,220000,3031153,2.2,3037786,2.4
California,v,423970,2.11985,200000,39735951,2,39691571,2
Colorado,o,269601,1.225459091,220000,5754756,2.2,5818074,2.2
Connecticut,v,14357,0.0683666667,210000,3630004,2.1,3622038,2
Delaware,o,6447,0.0268625,240000,984141,2.4,990883,2.4
District of Columbia,Nan,,0,630000,702455,6.3,705749,6
Florida,v,170304,0.810971429,210000,21441679,2.1,21621980,2.1
Georgia,o,153909,0.615636,250000,10798647,2.5,10887362,2
Hawaii,v,28311,0.141555,200000,1420491,2,1415872,2
Idaho,v,216446,1.3527875,160000,1819181,1.6,1856399,1.6
Illinois,v,149998,0.71427619,210000,12810199,2.1,12743133,2.3
Indiana,o,94321,0.725546154,130000,6702735,1.3,6740561,1.2
Iowa,v,145743,0.97162,150000,3189115,1.5,3189026,1.7
Kansas,v,213096,0.968618182,220000,3005652,2.2,3007917,2.4
Kentucky,v,104659,0.615641176,170000,4515472,1.7,4514743,1.6
Lousiana,o,134264,0.447546667,300000,4719808,3,4711000,2.6
Maine,v,91646,0.539094118,170000,1393395,1.7,1388274,1.6
Maryland,v,32133,0.119011111,270000,6243451,2.7,6246442,2.7
Massachusetts,v,27336,0.1139,240000,6913325,2.4,6903724,2.4
Michigan,v,250494,1.473494118,170000,10417561,1.7,10408876,1.7
Minnesota,v,225171,1.324535294,170000,5942285,1.7,5972409,1.7
Mississippi,x,125434,1.393711111,90000,2987810,0.9,2977494,0.9
Missouri,v,180553,0.785013043,230000,6211446,2.3,6223206,2.4
Montana,o,380838,2.240223529,170000,1121837,1.7,1128358,1.8
Nebraska,v,200345,1.054447368,190000,1998902,1.9,2004095,1.9
Nevada,v,286351,1.36357619,210000,3040690,2.1,3086380,1.8
New Hampshire,v,24216,0.115314286,210000,1382257,2.1,1384448,2.1
New Jersey,v,22588,0.0645371429,350000,8968809,3.5,8941805,4.2
New Mexico,o,314915,2.422423077,130000,2100071,1.3,2101456,0.9
New York,v,141299,0.487237931,290000,21485794,2.9,21379545,2.9
North Carolina,v,139389,0.60603913,230000,10417547,2.3,10521969,2.3
North Dakota,o,183112,0.79613913,230000,788896,2.3,789872,2.2
Ohio,v,116096,0.893046154,130000,11795193,1.3,11800616,1.1
Oklahoma,o,181035,0.822886364,220000,3967076,2.2,3975796,2.3
Oregon,o,254805,1.6987,150000,4328893,1.5,4359651,1.5
Pennsylvania,v,119283,0.627805263,190000,13602353,1.9,13593466,1.9
Rhode Island,v,4002,0.0174,230000,1063854,2.3,1065937,2.4
South Carolina,x,82932,0.331728,250000,5107178,2.5,5171909,2.2
South Dakota,o,199731,1.051215789,190000,921472,1.9,924753,1.9
Tennessee,x,109151,0.419811538,260000,6791112,2.6,6851803,2.6
Texas,v,695621,4.34763125,160000,28782890,1.6,29074671,1.8
Utah,v,219887,1.465913333,150000,3378732,1.5,3382184,1.5
Vermont,v,24901,0.11857619,210000,648985,2.1,646608,2.2
Virginia,x,110785,0.481673913,230000,8526290,2.3,8544468,2.3
Washington,v,184665,1.319035714,140000,7579673,1.4,7660883,1.4
West Virginia,o,62755,0.28525,220000,1817569,2.2,1804075,2.3
Wisconsin,v,169639,0.807804762,210000,5923923,2.1,5933340,2.2
Wyoming,x,253336,1.013344,250000,588786,2.5,589800,2.4
