State,Traveler_spending
Alabama,11513.8
Alaska,2851.1
Arizona,21582.8
Arkansas,7366.7
California,148446.9
Colorado,21648.5
Connecticut,12231.5
Delaware,2303.3
District of Columbia,13647.9
Florida,102843.7
Georgia,31052
Hawaii,26097.5
Idaho,5656
Illinois,41750
Indiana,12329.4
Iowa,9210.9
Kansas,8133
Kentucky,10211.7
Lousiana,13109.5
Maine,4517.1
Maryland,18220.7
Massachusetts,24156.5
Michigan,23323.7
Minnesota,15421
Mississippi,6695
Missouri,15230.3
Montana,4908.8
Nebraska,5493.1
Nevada,42496
New Hampshire,4350.4
New Jersey,34055.2
New Mexico,7740.2
New York,83045.2
North Carolina,26259.9
North Dakota,3085.3
Ohio,31604.9
Oklahoma,9280.2
Oregon,12975.7
Pennsylvania,37494.1
Rhode Island,2289.4
South Carolina,15293.2
South Dakota,3397.6
Tennessee,22017.9
Texas,76402.6
Utah,9745.3
Vermont,2666.3
Virginia,26740.4
Washington,20268.3
West Virginia,4348.9
Wisconsin,12516.5
Wyoming,3686.9
